20000^01778^Sachsen^Sächsische Schweiz-Osterzgebirge^Altenberg^^^^Altenberg^Platz des Bergmanns 2^ 8 317^13,75733^50,766644^3206^01773^Altenberg(1773)^
20001^01996^Brandenburg^Oberspreewald-Lausitz^Senftenberg^^^^Senftenberg^Markt 1^ 25 061^14,004311^51,51875^3057^01968^Senftenberg(1968)^www.senftenberg.de
20002^02727^Sachsen^Görlitz^Ebersbach-Neugersdorf^^^^Ebersbach-Neugersdorf^Reichsstr. 1^ 13 272^14,595702^51,000557^3208^02730^Ebersbach-Neugersdorf(2730)^www.ebersbach-neugersdorf.de
20003^02788^Sachsen^Görlitz^Zittau^^^^Zittau^Markt 1^ 26 206^14,806366^50,896384^3208^02763^Zittau(2763)^www.zittau.eu
20004^02799^Sachsen^Görlitz^Großschönau^^^^Großschönau^Hauptstr. 54^ 5 804^14,660908^50,896216^3208^02779^Großschönau(2779)^
20005^04328^Sachsen^Leipzig ^Leipzig^^^^Leipzig^Martin-Luther-Ring 4–6^ 520 838^12,375138^51,34079^3232^04109^Leipzig(4109)^www.leipzig.de
20006^04356^Sachsen^Leipzig ^Leipzig^^^^Leipzig^Martin-Luther-Ring 4–6^ 520 838^12,375138^51,34079^3232^04109^Leipzig(4109)^www.leipzig.de
20007^04680^Sachsen^Leipzig^Colditz^^^^Colditz^Markt 1^ 8 980^12,806749^51,125651^3238^04678^Colditz(4678)^www.colditz.de
20008^04824^Sachsen^Leipzig^Brandis^^^^Brandis^Markt 3^ 9 357^12,609467^51,333914^3238^04821^Brandis(4821)^www.stadt-brandis.de
20009^06255^Sachsen-Anhalt^Saalekreis^Mücheln/Geiseltal^^^^Mücheln/Geiseltal^Markt 1^9 172^11,805025^51,30213^3112^06249^Mücheln/Geiseltal(6249)^www.muecheln.de
20010^06259^Sachsen-Anhalt^Saalekreis^Braunsbedra^^^^Braunsbedra^Markt 1^ 11 513^11,883677^51,283795^3112^06242^Braunsbedra(6242)^www.braunsbedra.de
20011^06388^Sachsen-Anhalt^Anhalt-Bitterfeld^Südliches Anhalt^^^^Südliches Anhalt/OT Weiß.-Gölzau^Hauptstraße 31^ 14 300^12,071179^51,693625^3116^06369^Südliches Anhalt/OT Weiß.-Gölzau(6369)^www.suedliches-anhalt.de
20012^06456^Sachsen-Anhalt^Mansfeld-Südharz^Arnstein^^^^Arnstein^Eislebener Straße 2^ 7 180^11,46662^51,691069^3118^06333^Arnstein(6333)^
20013^06464^Sachsen-Anhalt^Salzlandkreis^Seeland^^^^Seeland^Lindenstraße 1^ 8 577^11,348883^51,796378^3117^06469^Seeland(6469)^
20014^06466^Sachsen-Anhalt^Salzlandkreis^Seeland^^^^Seeland^Lindenstraße 1^ 8 577^11,348883^51,796378^3117^06469^Seeland(6469)^
20015^06467^Sachsen-Anhalt^Salzlandkreis^Seeland^^^^Seeland^Lindenstraße 1^ 8 577^11,348883^51,796378^3117^06469^Seeland(6469)^
20016^06543^Sachsen-Anhalt^Mansfeld-Südharz^Arnstein^^^^Arnstein^Eislebener Straße 2^ 7 180^11,46662^51,691069^3118^06333^Arnstein(6333)^
20017^06628^Sachsen-Anhalt^Burgenlandkreis^Naumburg/Saale^^^^Naumburg (Saale)^Markt 1^ 32 816^11,809819^51,152095^3119^06618^Naumburg (Saale)(6618)^www.naumburg.de
20018^06688^Sachsen-Anhalt^Burgenlandkreis^Weißenfels^^^^Weißenfels^Markt 1^ 39 717^11,970088^51,200768^3119^06667^Weißenfels(6667)^www.weissenfels.de
20019^06766^Sachsen-Anhalt^Anhalt-Bitterfeld^Bitterfeld-Wolfen^^^^Bitterfeld-Wolfen^Rathausplatz 1^ 41 816^12,324811^51,625225^3116^06766^Bitterfeld-Wolfen(6766)^www.bitterfeld-wolfen.de
20020^06796^Sachsen-Anhalt^Anhalt-Bitterfeld^Sandersdorf-Brehna^^^^Sandersdorf-Brehna^Bahnhofstraße 2^ 14 760^12,251426^51,602808^3116^06792^Sandersdorf-Brehna(6792)^www.sandersdorf-brehna.de
20021^06800^Sachsen-Anhalt^Anhalt-Bitterfeld^Raguhn-Jeßnitz^^^^Raguhn-Jeßnitz^Rathausstraße 16^ 9 581^12,266724^51,723558^3116^06779^Raguhn-Jeßnitz(6779)^www.raguhn-jessnitz.de
20022^06803^Sachsen-Anhalt^Anhalt-Bitterfeld^Bitterfeld-Wolfen^^^^Bitterfeld-Wolfen^Rathausplatz 1^ 41 816^12,324811^51,625225^3116^06766^Bitterfeld-Wolfen(6766)^www.bitterfeld-wolfen.de
20023^06808^Sachsen-Anhalt^Anhalt-Bitterfeld^Bitterfeld-Wolfen^^^^Bitterfeld-Wolfen^Rathausplatz 1^ 41 816^12,324811^51,625225^3116^06766^Bitterfeld-Wolfen(6766)^www.bitterfeld-wolfen.de
20024^06809^Sachsen-Anhalt^Anhalt-Bitterfeld^Sandersdorf-Brehna^^^^Sandersdorf-Brehna^Bahnhofstraße 2^ 14 760^12,251426^51,602808^3116^06792^Sandersdorf-Brehna(6792)^www.sandersdorf-brehna.de
20025^06862^Sachsen-Anhalt^Dessau-Roßlau ^Dessau-Roßlau^^^^Dessau-Roßlau^Zerbster Str. 4^ 84 606^12,247058^51,860589^3114^06844^Dessau-Roßlau(6844)^www.dessau-rosslau.de
20026^06888^Sachsen-Anhalt^Wittenberg^Lutherstadt Wittenberg^^^^Lutherstadt Wittenberg^Lutherstr. 56^ 46 930^12,645553^51,867003^3115^06886^Lutherstadt Wittenberg(6886)^www.wittenberg.de
20027^08267^Sachsen^Vogtlandkreis^Klingenthal^^^^Klingenthal^Kirchstr. 14^ 9 167^12,469861^50,358646^3223^08248^Klingenthal(8248)^www.klingenthal.de
20028^08547^Sachsen^Vogtlandkreis^Plauen^^^^Plauen^Unterer Graben 1^ 64 115^12,135284^50,496038^3223^08523^Plauen(8523)^www.plauen.de
20029^08548^Sachsen^Vogtlandkreis^Rosenbach/Vogtl.^^^^Rosenbach/Vogtl.^Bernsgrüner Str. 18^ 4 337^12,036581^50,535788^3223^08539^Rosenbach/Vogtl.(8539)^www.rosenbach.de
20030^09128^Sachsen^Chemnitz ^Chemnitz^^^^Chemnitz^Bahnhofstr. 53^ 241 210^12,924221^50,832471^3215^09106^Chemnitz(9106)^www.chemnitz.de
20031^09224^Sachsen^Chemnitz ^Chemnitz^^^^Chemnitz^Bahnhofstr. 53^ 241 210^12,924221^50,832471^3215^09106^Chemnitz(9106)^www.chemnitz.de
20032^09228^Sachsen^Chemnitz ^Chemnitz^^^^Chemnitz^Bahnhofstr. 53^ 241 210^12,924221^50,832471^3215^09106^Chemnitz(9106)^www.chemnitz.de
20033^09247^Sachsen^Chemnitz ^Chemnitz^^^^Chemnitz^Bahnhofstr. 53^ 241 210^12,924221^50,832471^3215^09106^Chemnitz(9106)^www.chemnitz.de
20034^09434^Sachsen^Erzgebirgskreis^Zschopau^^^^Zschopau^Altmarkt 2^ 9 814^13,072274^50,747743^3228^09405^Zschopau(9405)^www.zschopau.de
20035^09434^Sachsen^Erzgebirgskreis^Hohndorf^^^^Hohndorf^Rödlitzer Str. 84^ 3 740^12,669883^50,746868^3224^09394^Hohndorf(9394)^www.hohndorf.com
20036^09634^Sachsen^Mittelsachsen^Reinsberg^^^^Reinsberg^Kirchgasse 2^ 3 010^13,363414^51,01052^3220^09629^Reinsberg(9629)^
20037^14476^Brandenburg^Potsdam ^Potsdam^^^^Potsdam^F.-Ebert-Str. 79/81^ 159 456^13,05358^13,05358^3046^14469^Potsdam(14469)^www.potsdam.de
20038^15378^Brandenburg^Märkisch-Oderland^Rüdersdorf bei Berlin^^^^Rüdersdorf bei Berlin^H.-Striegelski-Str. 5^ 15 093^13,784894^52,471347^3064^15562^Rüdersdorf bei Berlin(15562)^www.ruedersdorf.de
20039^15345^Brandenburg^Märkisch-Oderland^Rüdersdorf bei Berlin^^^^Rüdersdorf bei Berlin^H.-Striegelski-Str. 5^ 15 093^13,784894^52,471347^3064^15562^Rüdersdorf bei Berlin(15562)^www.ruedersdorf.de
20040^15831^Brandenburg^Teltow-Fläming^Blankenfelde-Mahlow^^^^Blankenfelde-Mahlow^Karl-Marx-Str. 4^ 25 655^13,399236^52,351644^3050^15827^Blankenfelde-Mahlow(15827)^www.blankenfelde-mahlow.de
20041^15831^Brandenburg^Teltow-Fläming^Großbeeren^^^^Großbeeren^Am Rathaus 1^ 7 794^13,307171^52,353581^3050^14979^Großbeeren(14979)^www.grossbeeren.de
20042^16227^Brandenburg^Barnim^Eberswalde^^^^Eberswalde^Breite Str. 42^ 38 960^13,820368^52,834577^3065^16225^Eberswalde(16225)^www.eberswalde.de
20043^16552^Brandenburg^Oberhavel^Mühlenbecker Land^^^^Mühlenbecker Land^Liebenwalder Str. 1^ 14 293^13,359423^52,667906^3053^16567^Mühlenbecker Land(16567)^www.muehlenbecker-land.de
20044^16556^Brandenburg^Oberhavel^Hohen Neuendorf^^^^Hohen Neuendorf^Oranienburger Str. 2^ 24 905^13,279527^52,67129^3053^16540^Hohen Neuendorf(16540)^www.hohen-neuendorf.de
20045^16562^Brandenburg^Oberhavel^Hohen Neuendorf^^^^Hohen Neuendorf^Oranienburger Str. 2^ 24 905^13,279527^52,67129^3053^16540^Hohen Neuendorf(16540)^www.hohen-neuendorf.de
20046^16827^Brandenburg^Ostprignitz-Ruppin^Neuruppin^^^^Neuruppin^K.-Liebknecht-Str. 33/34^ 30 162^12,806497^52,923364^3052^16816^Neuruppin(16816)^www.neuruppin.de
